sample	T-cells	B-cells	Treg	Macrophages	Th1 cells	CD45	Exhausted CD8	DC	Cytotoxic cells	NK CD56dim cells	Neutrophils	Mast cells	NK cells	CD8 T cells	igA_Bcells	igG_Bcells	igMD_Bcells
BA2701R	2.4814343136666666	-0.4846493476666666	-1.293321936	6.12296701725	1.881971067	8.988645644	4.4327294055	1.227084339	3.1330348761	-0.7560352403333334	7.341563350142857	1.9069060168	0.8703624076666667	2.1422575645000004	3.082776003	0.40742010775	7.441204659
BA2634R	3.9757512586666666	0.167976038	-0.722823053	5.064984456	4.772091302	9.167844874	5.396676097249999	-0.452652967	6.3330696748	-0.2807149146666667	6.854406381	5.0842159336	0.7908504453333333	3.1772020545000004	3.9289766045	3.959389479	7.424773384
BA2937R	2.524615882	-1.9490665527777777	-1.551000003	4.00009899425	0.471360863	9.045019909	3.26646620575	-2.063108614	3.3119947151	-4.032331759666667	8.002119236857142	7.1991445838	1.062014873	1.4741664780000001	4.742516244	3.14183764675	5.1515502295
BA2600R	3.773503708833333	1.783441304777778	0.506007011	4.248788967	3.39251405	8.638944761	4.343177988	-0.932156855	4.713419915699999	0.010721968666666637	6.748478707428571	5.0113172874	2.329222357	2.924128625	6.930381730500001	4.3869443960000005	8.312351769
BA2019R	3.251688493666667	-2.191492018111111	1.256960022	1.8833647354999998	1.824207326	6.14026668	2.72424850875	-1.978278599	2.9459102989	-1.5056486563333333	5.526526115	4.365834958	1.4867586293333332	2.0299023925	8.3608458145	5.8672130865	5.1925449915
BA2412R	5.379442431	2.813905511	1.890379499	5.08195877925	4.527671245	10.12424561	5.1711520265	1.487105047	5.0876631896	0.537283392	8.354687754714286	6.605039564	1.9331017956666667	4.623089418999999	8.1139151615	4.939699265	6.8415887479999995
BA2334R	3.7197836926666668	-0.8527367131111111	0.790649234	1.037211235	0.950222681	9.041438597	3.8908182622500003	-3.458680576	3.1890604951	-1.1998832273333333	6.521493619428572	5.421751489	0.2708211836666667	2.4096478450000003	1.1967420265	-1.62969272625	7.7019881429999995
BA2050R	2.2106260228333334	-1.0497943564444445	-1.825294369	1.78383612125	-0.769505589	8.42083658	3.31007737425	-1.334346309	1.8916289687	-3.053927965	5.042029765	5.237140595	0.131171592	1.1224789445	3.878120811	1.96095154525	6.4508155795
BA3230R	0.683341308	0.545680002888889	-0.967118058	1.6624682555	-0.979592395	8.730258103	3.1693487075	-3.540720733	2.0925756321	-2.7411145523333333	8.247005715285715	4.8535493642	-1.1982103203333332	0.6439860715	4.3956363885	1.14216890975	7.078295196
BA2481R	2.8692980256666667	0.9116695796666666	0.692902997	1.2511051334999999	0.767805183	7.157133737	2.97486181225	-5.174892749	1.8728712990999998	-2.7282179773333333	7.358427545285714	3.4677969864000002	2.0571427426666666	1.4403865415000001	8.887625868	7.8756612895	7.065351047
BA2731R	3.451303712666667	0.9126746605555555	-0.545962206	6.0033074299999996	2.76791788	9.187287338	4.722848943	3.117790107	4.8027457339	1.1610271166666666	5.736091670857143	5.1216536876	0.297941369	3.3078354875000002	6.535702427	4.17741281775	3.420733413
BA2418R	5.513555581166667	-0.06846278933333334	3.772117493	1.4087542115	3.030493876	8.1981159	4.19215527575	-3.070293038	4.6908449453	0.7776694916666667	2.576422989857143	2.9321093763999997	0.5514938366666666	3.8788827325	2.7604085275	0.14660408549999998	7.365893004
BA2294R	4.284767896	2.031537803222222	0.7875665	2.85757495125	3.410893775	8.545087529	4.49049465425	-2.914937222	4.9498501969	-0.503319251	6.787796056142858	8.3237006754	1.4584954940000001	3.858616789	9.827320728	8.985938729499999	7.478947737
BA2816R	4.853622329	3.0354229754444444	0.499201193	4.2835788755	4.858684128	7.494577725	5.3904754302499995	0.664550639	5.546390715	0.2258130713333334	3.765877177	2.1691966207999998	2.5231748073333335	4.8691424395	9.746159621	8.679399909499999	8.506593382
